    PID   RSS    VSZ CMD
    276     0      0 [kworker/18:1H-kblockd]
    277     0      0 [kworker/6:1H-kblockd]
    278     0      0 [kworker/22:1H-kblockd]
    279     0      0 [kworker/10:1H-kblockd]
    280     0      0 [kworker/13:1H-kblockd]
    281     0      0 [kworker/19:1H-kblockd]
    282     0      0 [kworker/11:1H-kblockd]
    284     0      0 [kworker/20:1H-kblockd]
    286     0      0 [kworker/21:1H-kblockd]
    295     0      0 [kworker/5:1H-kblockd]
    297     0      0 [kworker/2:1H-kblockd]
    298     0      0 [scsi_eh_0]
    299     0      0 [scsi_tmf_0]
    300     0      0 [scsi_eh_1]
    301     0      0 [scsi_tmf_1]
    302     0      0 [scsi_eh_2]
    303     0      0 [scsi_tmf_2]
    304     0      0 [scsi_eh_3]
    305     0      0 [scsi_tmf_3]
    306     0      0 [scsi_eh_4]
    307     0      0 [scsi_tmf_4]
    309     0      0 [scsi_eh_5]
    310     0      0 [scsi_tmf_5]
    311     0      0 [scsi_eh_6]
    312     0      0 [scsi_tmf_6]
    313     0      0 [scsi_eh_7]
    314     0      0 [scsi_tmf_7]
    322     0      0 [nvme-wq]
    323     0      0 [nvme-reset-wq]
    324     0      0 [nvme-delete-wq]
    325     0      0 [nvme-auth-wq]
    331     0      0 [kworker/1:1H-kblockd]
    363     0      0 [kworker/3:1H-kblockd]
    364     0      0 [kworker/4:1H-kblockd]
    486     0      0 [uas]
    536     0      0 [jbd2/sdb2-8]
    537     0      0 [ext4-rsv-conver]
    587 14836 126804 /lib/systemd/systemd-journald
    665  3840  27752 /lib/systemd/systemd-udevd
    911     0      0 [cryptd]
    995  2940  13932 /sbin/mount.ntfs /dev/sdb1 /media/artur/1T -o rw,nosuid,nodev
    996     0      0 [nv_queue]
    997     0      0 [nv_queue]
   1048  2688  14836 /lib/systemd/systemd-oomd
   1049  6144  26068 /lib/systemd/systemd-resolved
   1050  2496  89720 /lib/systemd/systemd-timesyncd
   1052     0      0 [nvidia-modeset/kthread_q]
   1053     0      0 [nvidia-modeset/deferred_close_kthread_q]
   1056     0      0 [irq/106-nvidia]
   1057     0      0 [nvidia]
   1058     0      0 [nv_queue]
   1170   960   2816 /usr/sbin/acpid
   1173  1920   7764 avahi-daemon: running [AKB-Ubuntu.local]
   1175  4416  13576 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1176  9408 340932 /usr/sbin/NetworkManager --no-daemon
   1182  2112  82844 /usr/sbin/irqbalance --foreground
   1191 10176  43700 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   1196  9592 237604 /usr/libexec/polkitd --no-debug
   1198  1344 250840 /usr/libexec/okimfpdrv/scand
   1200  2880 242572 /usr/libexec/power-profiles-daemon
   1203  2496 222456 /usr/sbin/rsyslogd -n -iNONE
   1209 17368 2947436 /usr/lib/snapd/snapd
   1210  3456 243000 /usr/libexec/accounts-daemon
   1212  1344  12028 /usr/sbin/cron -f -P
   1213  2688 239020 /usr/libexec/switcheroo-control
   1215  3528  48316 /lib/systemd/systemd-logind
   1216  2880  14952 /lib/systemd/systemd-machined
   1222  7028 394300 /usr/libexec/udisks2/udisksd
   1223  1920  16504 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
   1227   768   7496 avahi-daemon: chroot helper
   1322  7232 1555120 /usr/sbin/libvirtd
   1329     0   2892 /bin/sh /snap/cups/1047/scripts/run-cups-browsed
   1333   384   2892 /bin/sh /snap/cups/1047/scripts/run-cupsd
   1343 10560 120728 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   1370  3444 244236 /usr/sbin/ModemManager
   1394     0      0 [UVM global queue]
   1395     0      0 [UVM deferred release queue]
   1397 19212 2541100 /usr/bin/containerd
   1431     0      0 [UVM Tools Event Queue]
   1461   960   5324 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
   1565  3264 243876 /usr/sbin/gdm3
   1651  3264 173052 gdm-session-worker [pam/gdm-autologin]
   1694  5840  18576 /lib/systemd/systemd --user
   1697  6148 170964 (sd-pam)
   1725  1348  10112 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   1728   772  10084 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
   1846  1920  42124 /usr/bin/pipewire
   1847  1152  26128 /usr/bin/pipewire-media-session
   1848 20316 10416184 /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1862  3080 391040 /usr/bin/gnome-keyring-daemon --daemonize --login
   1882  1728 154004 /usr/libexec/rtkit-daemon
   1909  2688 164964 /usr/libexec/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
   1910  4252  10952 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1912 240132 25742692 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
   2240  3456 243284 /usr/libexec/gvfsd
   2263  2496 380896 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2474  1728  66624 cupsd -f -s /var/snap/cups/common/etc/cups/cups-files.conf -c /var/snap/cups/common/etc/cups/cupsd.conf
   2503  4608 225576 /usr/libexec/gnome-session-binary --session=ubuntu
   2572  1152   2892 /bin/sh /snap/cups/1047/scripts/run-cups-browsed
   2610  2880 309680 /usr/libexec/at-spi-bus-launcher
   2616  2304   8748 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
   2623  2112  94444 /usr/libexec/gnome-session-ctl --monitor
   2635  5376 448312 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2655 922556 7054696 /usr/bin/gnome-shell
   2703  2496 386764 /usr/libexec/xdg-permission-store
   2705  6528 583072 /usr/libexec/gnome-shell-calendar-server
   2713  5952 1074816 /usr/libexec/evolution-source-registry
   2718  3456 244828 /usr/libexec/upowerd
   2723 10404 296356 /usr/libexec/geoclue
   2725  9984 584544 /usr/libexec/goa-daemon
   2728 22080 158596 /usr/libexec/dconf-service
   2734  5760 540116 /usr/libexec/gvfs-udisks2-volume-monitor
   2737  7680 1318360 /usr/libexec/evolution-calendar-factory
   2753  4224 340936 /usr/libexec/goa-identity-service
   2754  3072 240208 /usr/libexec/gvfs-gphoto2-volume-monitor
   2767  2688 239124 /usr/libexec/gvfs-mtp-volume-monitor
   2774  5952 683056 /usr/libexec/evolution-addressbook-factory
   2778  3072 317744 /usr/libexec/gvfs-afc-volume-monitor
   2785  2688 239168 /usr/libexec/gvfs-goa-volume-monitor
   2797 24416 375364 /usr/libexec/packagekitd
   2807  3072 165964 /usr/libexec/gvfsd-metadata
   2808  4224 317648 /usr/libexec/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
   2817  2112  38952 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   2840  3456 613304 /usr/libexec/xdg-document-portal
   2845   960   2796 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   2846  5952 757716 /usr/libexec/xdg-desktop-portal
   2860 92576 1508048 /usr/libexec/xdg-desktop-portal-gnome
   2889 18316 454712 /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   2911 16168 2934368 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2913  2688 162820 /usr/libexec/at-spi2-registryd --use-gnome-session
   2933   960   2892 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
   2934  2496 313016 /usr/libexec/gsd-a11y-settings
   2937  7640 318028 /usr/bin/ibus-daemon --panel disable --xim
   2938 10508 466108 /usr/libexec/gsd-color
   2943  4416 378056 /usr/libexec/gsd-datetime
   2944  3840 315816 /usr/libexec/gsd-housekeeping
   2950  9128 343864 /usr/libexec/gsd-keyboard
   2954 11104 867692 /usr/libexec/gsd-media-keys
   2956 10660 453952 /usr/libexec/gsd-power
   2958  3840 252388 /usr/libexec/gsd-print-notifications
   2963  2496 460392 /usr/libexec/gsd-rfkill
   2967  2304 238952 /usr/libexec/gsd-screensaver-proxy
   2968  3264 468540 /usr/libexec/gsd-sharing
   2970  2880 314900 /usr/libexec/gsd-smartcard
   2973  2688 321936 /usr/libexec/gsd-sound
   2976  9348 344252 /usr/libexec/gsd-wacom
   2978 10004 346004 /usr/libexec/gsd-xsettings
   2998 18756 825432 /usr/libexec/evolution-data-server/evolution-alarm-notify
   3008  4224 232272 /usr/libexec/gsd-disk-utility-notify
   3031 16241344 246645604 qbittorrent
   3052  2688 239892 /usr/libexec/ibus-dconf
   3061 14056 275088 /usr/libexec/ibus-extension-gtk3
   3068  8996 196576 /usr/libexec/ibus-x11 --kill-daemon
   3071  2496 240060 /usr/libexec/ibus-portal
   3087  5160 248012 /usr/libexec/colord
   3103 67612 1461256 /snap/snap-store/1113/usr/bin/snap-store --gapplication-service
   3147  4416 344896 /usr/libexec/gsd-printer
   3152 11076 3007568 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
   3154 10640 345744 /usr/libexec/xdg-desktop-portal-gtk
   3213  2496 166288 /usr/libexec/ibus-engine-simple
   3220 24024 723536 /usr/libexec/tracker-miner-fs-3
   3557 31144 2871092 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
   3591  1536  13092 /usr/sbin/kerneloops --test
   3593  1728  13092 /usr/sbin/kerneloops
   3596 33644 1834616 /usr/bin/tor --defaults-torrc /usr/share/tor/tor-service-defaults-torrc -f /etc/tor/torrc --RunAsDaemon 0
   3598  7760 2707900 /opt/teamviewer/tv_bin/teamviewerd -d
   3668 63116 3447452 /opt/teamviewer/tv_bin/TeamViewer
   4077  4504 722280 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 51ce1b48eda9bd8c46bcfb1e8d06d88425fc53de7f47ef3fa84207baa2221930 -address /run/containerd/containerd.sock
   4083  3604 722536 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 7c077ee0a47b9180d1db16b7d1282f52e1e532429e0c6b857e0918aeee195a13 -address /run/containerd/containerd.sock
   4140 123624 388276 /app/presearch-node
   4144 14016 723540 /watchtower --cleanup --interval 900 presearch-auto-updater presearch-node
   8151 71384 2765952 megasync
   9053  8872 2568516 /usr/bin/snap userd
  14861     0      0 [tls-strp]
  16383  4224 284240 /usr/libexec/gvfsd-http --spawner :1.5 /org/gtk/gvfs/exec_spaw/1
  18886  2112   7980 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
  27870 18144 394316 /usr/bin/seahorse --gapplication-service
  27871 18092 896888 /usr/bin/gnome-calendar --gapplication-service
  27956  1152  86520 /usr/bin/gpg-agent --supervised
  30277  4800  15436 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
  32063 428636 1177554996 /opt/Spacemesh/spacemesh_app
  32066 13248 33790364 /opt/Spacemesh/spacemesh_app --type=zygote --no-zygote-sandbox
  32067 12864 33790352 /opt/Spacemesh/spacemesh_app --type=zygote
  32069  9276 33790352 /opt/Spacemesh/spacemesh_app --type=zygote
  32094 124236 34341936 /opt/Spacemesh/spacemesh_app --type=gpu-process --enable-crash-reporter=d8471e99-8e15-4b67-b657-c3febc1924d5,no_channel --user-data-dir=/home/artur/.config/Spacemesh --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,12300666153116574272,4747559333083905652,262144 --disable-features=SpareRendererForSitePerProcess
  32112 14016 33839908 /opt/Spacemesh/spacemesh_app --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --enable-crash-reporter=d8471e99-8e15-4b67-b657-c3febc1924d5,no_channel --user-data-dir=/home/artur/.config/Spacemesh --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,12300666153116574272,4747559333083905652,262144 --disable-features=SpareRendererForSitePerProcess
  32116 68372 1185826580 /opt/Spacemesh/spacemesh_app --type=renderer --enable-crash-reporter=d8471e99-8e15-4b67-b657-c3febc1924d5,no_channel --user-data-dir=/home/artur/.config/Spacemesh --app-path=/opt/Spacemesh/resources/app.asar --no-sandbox --no-zygote --first-renderer-process --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1717315536301655 --launch-time-ticks=21884285259 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,12300666153116574272,4747559333083905652,262144 --disable-features=SpareRendererForSitePerProcess
  32132 32496 34054956 /opt/Spacemesh/spacemesh_app --type=broker
  32201 7638656 16918408 /opt/Spacemesh/node/go-spacemesh --config /home/artur/.config/Spacemesh/node-config.json -d /media/artur/1T/Smesh_data/7c8cef2b --grpc-private-listener 127.0.0.1:9093
  32429  2688 1705168 /opt/Spacemesh/node/service --address http://127.0.0.1:35361 --min-num-units 4 --max-num-units 1048576 --k1 26 --k2 37 --pow-difficulty 000dfb23b0979b4b000000000000000000000000000000000000000000000000 --dir /media/artur/SMESH/SMESH -n 8192 -r 1 -p 1 --threads 23 --nonces 288 --randomx-mode fast --watch-pid 32201 --max-retries 10
  53984  4408 120384 /usr/bin/speech-dispatcher -s -t 0
  53995     0      0 [sd_espeak-ng-mb] <defunct>
  53998  4608 108120 /usr/lib/speech-dispatcher-modules/sd_espeak-ng /etc/speech-dispatcher/modules/espeak-ng.conf
  54001  2304 358220 /usr/lib/speech-dispatcher-modules/sd_dummy /etc/speech-dispatcher/modules/dummy.conf
  54180  3456 391320 /usr/libexec/gvfsd-network --spawner :1.5 /org/gtk/gvfs/exec_spaw/2
  54192  5568 527744 /usr/libexec/gvfsd-smb-browse --spawner :1.5 /org/gtk/gvfs/exec_spaw/3
  54199  3648 319360 /usr/libexec/gvfsd-dnssd --spawner :1.5 /org/gtk/gvfs/exec_spaw/4
 122267 45264 906392 /usr/libexec/gnome-terminal-server
 122290  2880  14272 bash
 122430  9064 3789432 adb -L tcp:5037 fork-server server --reply-fd 4
